sentence,adjectives,transparency,polarity,negation,gender,roberta_large_surprisal,bert_large_cased_surprisal,xlnet_large_cased_surprisal,gpt2_large_surprisal
He is normal. She too is normal.,normal-strange,n,pp,n,mf,-1.0221786499023438;-0.20751953125;-0.02325439453125;-0.00559234619140625;-1.8544921875;-1.4756126403808594;-0.052215576171875;-0.03884124755859375;-0.01052093505859375,-2.0705137252807617;-0.13820838928222656;-0.0599212646484375;-0.018423080444335938;-1.2145624160766602;-4.4449310302734375;-0.021297454833984375;-0.07318687438964844;-0.015821456909179688,0.0;-2.9992942810058594;-17.131977081298828;-5.528003692626953;-8.820018768310547;-16.235328674316406;-2.2943267822265625;-17.120620727539062;-4.916469573974609,0.0;-3.1556758880615234;-10.089736938476562;-1.8401069641113281;-4.72772216796875;-7.657271385192871;-0.9089298248291016;-0.6223106384277344;-0.6730012893676758
He is strange. She too is strange.,normal-strange,n,mm,n,mf,-1.4215812683105469;-0.20429229736328125;-0.15406036376953125;-0.0092010498046875;-1.7387924194335938;-1.1578369140625;-0.0660858154296875;-0.07064056396484375;-0.0132293701171875,-3.1820735931396484;-0.10015106201171875;-0.15011310577392578;-0.026274681091308594;-1.2908897399902344;-2.830747604370117;-0.027681350708007812;-0.25031471252441406;-0.014919281005859375,0.0;-6.899837493896484;-15.940998077392578;-5.8470916748046875;-5.413368225097656;-17.867088317871094;-3.5683860778808594;-17.610671997070312;-4.911003112792969,0.0;-3.1556758880615234;-10.54507064819336;-1.5254449844360352;-4.996781349182129;-8.042068481445312;-1.144841194152832;-1.232004165649414;-0.7229938507080078
He is normal. She too is strange.,normal-strange,n,pm,n,mf,-3.7456398010253906;-0.358062744140625;-6.779872894287109;-0.01435089111328125;-4.346954345703125;-3.374584197998047;-0.0921478271484375;-8.232765197753906;-0.01944732666015625,-2.6488733291625977;-0.33696842193603516;-6.081737518310547;-0.018789291381835938;-1.8133697509765625;-3.7246952056884766;-0.13236427307128906;-6.640956878662109;-0.014612197875976562,0.0;-7.420444488525391;-16.263572692871094;-8.849937438964844;-5.255176544189453;-23.008668899536133;-8.65560531616211;-17.227096557617188;-6.262825012207031,0.0;-3.1556758880615234;-10.089736938476562;-1.8401069641113281;-4.72772216796875;-7.657271385192871;-0.9089298248291016;-6.872796535491943;-0.8461723327636719
He is strange. She too is normal.,normal-strange,n,mp,n,mf,-4.8548126220703125;-0.3114013671875;-9.71603775024414;-0.0237274169921875;-4.259590148925781;-4.631214141845703;-0.15435028076171875;-9.107982635498047;-0.01531219482421875,-5.113699436187744;-0.390472412109375;-7.448883533477783;-0.022157669067382812;-2.757462501525879;-3.8077850341796875;-0.1748189926147461;-5.922863006591797;-0.016817092895507812,0.0;-9.886524200439453;-21.94084930419922;-4.027252197265625;-5.6090850830078125;-21.0521297454834;-5.42431640625;-18.343448638916016;-5.7382049560546875,0.0;-3.1556758880615234;-10.54507064819336;-1.5254449844360352;-4.996781349182129;-8.042068481445312;-1.144841194152832;-8.178299903869629;-0.9598979949951172
He is not normal. She too is normal.,normal-strange,n,pp,y,mf,-2.4544754028320312;-0.1951751708984375;-3.8709640502929688;-2.6795387268066406;-0.016937255859375;-2.817474365234375;-3.563282012939453;-2.1691970825195312;-3.2663650512695312;-0.0302886962890625,-2.0493812561035156;-0.043122291564941406;-1.1239395141601562;-0.1839141845703125;-0.0220489501953125;-1.5875329971313477;-4.148533821105957;-0.05096244812011719;-0.8751287460327148;-0.026607513427734375,0.0;-9.862174987792969;-5.150613784790039;-13.653179168701172;-4.230014801025391;-6.301734924316406;-17.57708740234375;-6.458404541015625;-21.0206298828125;-3.5629806518554688,0.0;-3.1556758880615234;-2.8939313888549805;-8.395404815673828;-1.4248504638671875;-4.846713542938232;-8.321701049804688;-0.9989681243896484;-4.164436340332031;-0.9197559356689453
He is not strange. She too is strange.,normal-strange,n,mm,y,mf,-2.5474090576171875;-0.14943695068359375;-2.837066650390625;-2.6703453063964844;-0.01470184326171875;-2.970043182373047;-3.330211639404297;-0.0908355712890625;-0.390472412109375;-0.02017974853515625,-2.7859373092651367;-0.030263900756835938;-3.206890106201172;-2.5802841186523438;-0.016782760620117188;-2.2473440170288086;-2.7127304077148438;-0.03256988525390625;-0.9156465530395508;-0.020402908325195312,0.0;-11.011898040771484;-4.123870849609375;-12.17837142944336;-3.9957923889160156;-6.171775817871094;-15.60476303100586;-6.253202438354492;-18.890342712402344;-3.898822784423828,0.0;-3.1556758880615234;-2.8939313888549805;-10.483187675476074;-1.7950553894042969;-5.081679344177246;-7.2714715003967285;-0.9568538665771484;-3.902881622314453;-0.8273200988769531
He is not normal. She too is strange.,normal-strange,n,pm,y,mf,-4.783687591552734;-0.21112823486328125;-0.36209869384765625;-1.5514297485351562;-0.01204681396484375;-5.404289245605469;-0.439361572265625;-0.07605743408203125;-3.843334197998047;-0.02434539794921875,-4.272575378417969;-0.031213760375976562;-1.4366569519042969;-3.310612678527832;-0.015760421752929688;-4.6177873611450195;-3.384060859680176;-0.19533920288085938;-4.186739921569824;-0.022813796997070312,0.0;-11.866718292236328;-11.881522178649902;-11.081053733825684;-7.137622833251953;-4.450902938842773;-19.16339874267578;-9.565799713134766;-13.69417953491211;-5.412092208862305,0.0;-3.1556758880615234;-2.8939313888549805;-8.395404815673828;-1.4248504638671875;-4.846713542938232;-8.321701049804688;-0.9989681243896484;-5.381165504455566;-0.9928512573242188
He is not strange. She too is normal.,normal-strange,n,mp,y,mf,-4.68096923828125;-0.16928863525390625;-0.5761260986328125;-3.5442886352539062;-0.00937652587890625;-5.7168426513671875;-1.5495414733886719;-0.05048370361328125;-3.6192359924316406;-0.0179595947265625,-4.836374282836914;-0.031026840209960938;-2.20090389251709;-6.591852188110352;-0.013105392456054688;-6.237738609313965;-4.213068962097168;-0.1054677963256836;-4.1203508377075195;-0.0201416015625,0.0;-11.067787170410156;-13.103670120239258;-14.259910583496094;-4.152240753173828;-5.20280647277832;-16.13274383544922;-7.027397155761719;-15.237489700317383;-4.777912139892578,0.0;-3.1556758880615234;-2.8939313888549805;-10.483187675476074;-1.7950553894042969;-5.081679344177246;-7.2714715003967285;-0.9568538665771484;-6.095659255981445;-0.8385982513427734
She is normal. He too is normal.,normal-strange,n,pp,n,fm,-1.5967788696289062;-0.2592926025390625;-0.03385162353515625;-0.0043182373046875;-0.8488922119140625;-1.2154808044433594;-0.10341644287109375;-0.05614471435546875;-0.00992584228515625,-2.09104061126709;-0.15885257720947266;-0.09564685821533203;-0.020799636840820312;-1.4538888931274414;-3.1646013259887695;-0.012357711791992188;-0.07567214965820312;-0.0139007568359375,0.0;-8.923370361328125;-18.66964340209961;-5.702571868896484;-5.2827301025390625;-17.495315551757812;-3.714632034301758;-19.058910369873047;-5.345664978027344,0.0;-3.225691318511963;-9.803332328796387;-1.7361783981323242;-5.380419731140137;-8.1190185546875;-0.7652177810668945;-0.6447687149047852;-0.6635351181030273
She is strange. He too is strange.,normal-strange,n,mm,n,fm,-2.4715194702148438;-0.22821807861328125;-0.16942596435546875;-0.00531005859375;-0.73809814453125;-1.0769271850585938;-0.08331298828125;-0.0503692626953125;-0.0120391845703125,-2.7538557052612305;-0.12159538269042969;-0.1955738067626953;-0.02308940887451172;-1.5560541152954102;-2.2367000579833984;-0.018445968627929688;-0.223297119140625;-0.012104034423828125,0.0;-5.957584381103516;-12.587799072265625;-6.669883728027344;-10.957550048828125;-11.755355834960938;-3.166454315185547;-17.626983642578125;-4.808246612548828,0.0;-3.225691318511963;-10.372187614440918;-1.3815841674804688;-5.186468124389648;-8.224370956420898;-1.0528430938720703;-1.3415355682373047;-0.754155158996582
She is normal. He too is strange.,normal-strange,n,pm,n,fm,-4.720676422119141;-0.33826446533203125;-6.9684600830078125;-0.00577545166015625;-2.7566604614257812;-3.2215194702148438;-0.12697601318359375;-6.877418518066406;-0.015655517578125,-2.4452877044677734;-0.41737842559814453;-5.8532233238220215;-0.024785995483398438;-1.921952247619629;-2.89284610748291;-0.08667469024658203;-6.472043991088867;-0.013479232788085938,0.0;-10.314300537109375;-17.517292022705078;-8.956649780273438;-5.455352783203125;-19.315738677978516;-9.112655639648438;-17.24956512451172;-5.875663757324219,0.0;-3.225691318511963;-9.803332328796387;-1.7361783981323242;-5.380419731140137;-8.1190185546875;-0.7652177810668945;-7.100367546081543;-0.8496589660644531
She is strange. He too is normal.,normal-strange,n,mp,n,fm,-5.2725830078125;-0.27597808837890625;-9.353893280029297;-0.0110626220703125;-2.5391693115234375;-4.248035430908203;-0.16266632080078125;-9.068927764892578;-0.01296234130859375,-5.254778861999512;-0.4994049072265625;-6.933334827423096;-0.02338695526123047;-3.7442636489868164;-2.651209831237793;-0.1454639434814453;-6.243557929992676;-0.015211105346679688,0.0;-11.223419189453125;-16.444541931152344;-4.783321380615234;-7.3045806884765625;-15.406627655029297;-6.760414123535156;-19.008460998535156;-7.1609344482421875,0.0;-3.225691318511963;-10.372187614440918;-1.3815841674804688;-5.186468124389648;-8.224370956420898;-1.0528430938720703;-7.93557071685791;-0.8767681121826172
She is not normal. He too is normal.,normal-strange,n,pp,y,fm,-3.7732505798339844;-0.23001861572265625;-3.3960838317871094;-2.3126792907714844;-0.01152801513671875;-1.3461456298828125;-3.281574249267578;-0.4042816162109375;-2.7617111206054688;-0.02217864990234375,-2.2315139770507812;-0.03926277160644531;-1.104933738708496;-0.16709518432617188;-0.021669387817382812;-1.6489887237548828;-3.3120670318603516;-0.023599624633789062;-0.8319482803344727;-0.023565292358398438,0.0;-9.981756210327148;-7.494020462036133;-14.493955612182617;-3.740436553955078;-4.765314102172852;-16.684093475341797;-6.862575531005859;-19.683570861816406;-2.450836181640625,0.0;-3.225691318511963;-2.9663033485412598;-7.860157489776611;-1.4579381942749023;-5.591416358947754;-8.538304328918457;-0.9170818328857422;-3.8184762001037598;-0.8688459396362305
She is not strange. He too is strange.,normal-strange,n,mm,y,fm,-3.5876998901367188;-0.15579986572265625;-2.5282135009765625;-2.292285919189453;-0.00817108154296875;-1.3313980102539062;-3.7539596557617188;-0.088287353515625;-0.27066802978515625;-0.01987457275390625,-2.582582473754883;-0.03181648254394531;-3.0988292694091797;-2.257080078125;-0.018400192260742188;-2.415616989135742;-2.073531150817871;-0.019433975219726562;-0.6551237106323242;-0.018098831176757812,0.0;-13.24781608581543;-4.90897798538208;-11.472311973571777;-4.734109878540039;-3.335886001586914;-16.559814453125;-6.813316345214844;-17.131092071533203;-3.342069625854492,0.0;-3.225691318511963;-2.9663033485412598;-10.245797157287598;-1.6730270385742188;-5.274125576019287;-7.881619930267334;-0.9072027206420898;-3.878485679626465;-0.8590373992919922
She is not normal. He too is strange.,normal-strange,n,pm,y,fm,-5.653110504150391;-0.19921875;-0.30667877197265625;-2.2638893127441406;-0.00710296630859375;-4.116180419921875;-0.5196685791015625;-0.0955047607421875;-4.008720397949219;-0.02133941650390625,-4.379273414611816;-0.024694442749023438;-1.472294807434082;-3.1612586975097656;-0.017045974731445312;-3.790273666381836;-2.8787460327148438;-0.11128044128417969;-4.043251991271973;-0.017168045043945312,0.0;-9.317863464355469;-10.63326358795166;-9.31124496459961;-8.42300796508789;-3.910860061645508;-17.4659423828125;-6.876720428466797;-14.624168395996094;-4.813497543334961,0.0;-3.225691318511963;-2.9663033485412598;-7.860157489776611;-1.4579381942749023;-5.591416358947754;-8.538304328918457;-0.9170818328857422;-5.659824371337891;-0.9844436645507812
She is not strange. He too is normal.,normal-strange,n,mp,y,fm,-5.523807525634766;-0.17354583740234375;-0.5990066528320312;-3.7122344970703125;-0.005767822265625;-3.7567062377929688;-1.7664031982421875;-0.067230224609375;-4.085315704345703;-0.01706695556640625,-5.064441680908203;-0.025814056396484375;-1.7398109436035156;-6.341165065765381;-0.014774322509765625;-6.392496109008789;-3.2158803939819336;-0.07730865478515625;-4.179856300354004;-0.018053054809570312,0.0;-8.320898056030273;-11.039506912231445;-14.703208923339844;-3.788663864135742;-4.985464096069336;-18.847986221313477;-8.910320281982422;-16.83660125732422;-4.6786041259765625,0.0;-3.225691318511963;-2.9663033485412598;-10.245797157287598;-1.6730270385742188;-5.274125576019287;-7.881619930267334;-0.9072027206420898;-5.66734504699707;-0.8040313720703125
He is obedient. She too is obedient.,obedient-disobedient,y,pp,n,mf,-0.6324920654296875;-0.11000823974609375;-0.09299468994140625;-0.02027130126953125;-0.8468017578125;-1.0554656982421875;-0.03412628173828125;-0.18236541748046875;-0.015655517578125,-1.1793498992919922;-0.057331085205078125;-0.000232696533203125;-0.03909111022949219;-1.728175163269043;-2.529195785522461;-0.03759765625;-0.0001468658447265625;-0.028690338134765625,0.0;-7.773872375488281;-21.45189666748047;-5.00469970703125;-3.8860435485839844;-18.840106964111328;-4.38136100769043;-20.48199462890625;-5.68743896484375,0.0;-3.1556758880615234;-11.340008735656738;-3.370102882385254;-5.225281715393066;-7.3003082275390625;-0.8727998733520508;-0.6726770401000977;-0.8227787017822266
He is disobedient. She too is disobedient.,obedient-disobedient,y,mm,n,mf,-1.0105438232421875;-0.15041351318359375;-0.001529693603515625;-0.03911590576171875;-1.76837158203125;-0.9924163818359375;-0.0392303466796875;-0.003704071044921875;-0.0313262939453125,-0.8379020690917969;-0.05784416198730469;-0.0002689361572265625;-0.017675399780273438;-1.4992952346801758;-2.7089614868164062;-0.020412445068359375;-0.0002498626708984375;-0.020914077758789062,0.0;-12.89358901977539;-52.41683006286621;-11.504959106445312;-4.933258056640625;-15.490970611572266;-6.882236480712891;-46.73447036743164;-5.373970031738281,0.0;-3.1556758880615234;-14.155890464782715;-2.7041711807250977;-5.926526069641113;-7.306617736816406;-0.7529888153076172;-0.6217470169067383;-0.8541831970214844
He is obedient. She too is disobedient.,obedient-disobedient,y,pm,n,mf,-1.2374992370605469;-0.11411285400390625;-2.995555877685547;-0.06031036376953125;-1.1773757934570312;-2.7737083435058594;-0.05422210693359375;-0.08855819702148438;-0.03031158447265625,-1.055633544921875;-0.047347068786621094;-0.0005855560302734375;-0.035366058349609375;-1.8559532165527344;-2.6337127685546875;-0.04450035095214844;-0.0008563995361328125;-0.025598526000976562,0.0;-8.787883758544922;-16.187210083007812;-4.46148681640625;-5.8205413818359375;-25.849414825439453;-12.256393432617188;-46.96316909790039;-5.628517150878906,0.0;-3.1556758880615234;-11.340008735656738;-3.370102882385254;-5.225281715393066;-7.3003082275390625;-0.8727998733520508;-6.835669994354248;-0.8409357070922852
He is disobedient. She too is obedient.,obedient-disobedient,y,mp,n,mf,-1.2696571350097656;-0.12844085693359375;-0.050472259521484375;-0.05010223388671875;-0.7899017333984375;-3.19061279296875;-0.04630279541015625;-3.0170326232910156;-0.030853271484375,-0.8617134094238281;-0.09590435028076172;-0.000644683837890625;-0.021642684936523438;-1.8275146484375;-2.6852188110351562;-0.04483318328857422;-0.000400543212890625;-0.03193092346191406,0.0;-11.708576202392578;-55.563032150268555;-3.891845703125;-4.262565612792969;-22.062973022460938;-4.8563995361328125;-18.91293716430664;-4.229595184326172,0.0;-3.1556758880615234;-14.155890464782715;-2.7041711807250977;-5.926526069641113;-7.306617736816406;-0.7529888153076172;-4.258794784545898;-0.939539909362793
He is not obedient. She too is obedient.,obedient-disobedient,y,pp,y,mf,-2.0783538818359375;-0.13336944580078125;-3.582958221435547;-4.866306304931641;-0.044952392578125;-1.5003166198730469;-3.5128517150878906;-0.14884185791015625;-2.8719711303710938;-0.04383087158203125,-1.027298927307129;-0.06454753875732422;-2.156365394592285;-0.000152587890625;-0.03896522521972656;-2.0542736053466797;-2.3006067276000977;-0.09260177612304688;-0.000125885009765625;-0.03711700439453125,0.0;-11.841487884521484;-5.799559116363525;-14.404226303100586;-3.36962890625;-5.130317687988281;-19.199111938476562;-4.288529396057129;-17.882171630859375;-4.825260162353516,0.0;-3.1556758880615234;-2.8939313888549805;-11.45686149597168;-3.0147457122802734;-5.620456695556641;-7.813543796539307;-0.9945459365844727;-3.290228843688965;-1.0338010787963867
He is not disobedient. She too is disobedient.,obedient-disobedient,y,mm,y,mf,-2.0329017639160156;-0.13607025146484375;-2.8911170959472656;-0.003627777099609375;-0.0514373779296875;-2.187084197998047;-2.965137481689453;-0.08126068115234375;-0.0077362060546875;-0.05591583251953125,-1.1740379333496094;-0.07902336120605469;-3.489614486694336;-0.00042724609375;-0.02618885040283203;-2.553206443786621;-2.2862319946289062;-0.057384490966796875;-0.0002422332763671875;-0.028778076171875,0.0;-13.914554595947266;-11.133216857910156;-51.966623306274414;-6.3604888916015625;-5.973316192626953;-16.126548767089844;-4.13538932800293;-52.96487808227539;-5.274875640869141,0.0;-3.1556758880615234;-2.8939313888549805;-13.688472747802734;-2.517009735107422;-6.60969352722168;-7.29976749420166;-1.0157756805419922;-3.4573917388916016;-1.2296276092529297
He is not obedient. She too is disobedient.,obedient-disobedient,y,pm,y,mf,-3.5523338317871094;-0.11940765380859375;-0.5666351318359375;-6.0911407470703125;-0.0390167236328125;-2.5657882690429688;-0.9471435546875;-0.038848876953125;-0.001407623291015625;-0.04148101806640625,-1.6673498153686523;-0.04490089416503906;-1.9414777755737305;-0.000331878662109375;-0.025705337524414062;-3.76010799407959;-2.2180747985839844;-0.05818367004394531;-0.0009632110595703125;-0.024774551391601562,0.0;-12.424949645996094;-6.964939117431641;-15.595722198486328;-5.59364128112793;-6.682735443115234;-14.327659606933594;-8.143646240234375;-53.132469177246094;-7.600059509277344,0.0;-3.1556758880615234;-2.8939313888549805;-11.45686149597168;-3.0147457122802734;-5.620456695556641;-7.813543796539307;-0.9945459365844727;-4.228102684020996;-0.9702577590942383
He is not disobedient. She too is obedient.,obedient-disobedient,y,mp,y,mf,-4.257564544677734;-0.09120941162109375;-0.7284164428710938;-0.00194549560546875;-0.0445098876953125;-2.9331207275390625;-2.0535545349121094;-0.03060150146484375;-1.24639892578125;-0.0359344482421875,-1.8706655502319336;-0.09252738952636719;-2.1253604888916016;-0.0008106231689453125;-0.027433395385742188;-4.295389175415039;-2.1269683837890625;-0.056499481201171875;-0.0004520416259765625;-0.03149223327636719,0.0;-14.155609130859375;-14.961799621582031;-57.54524517059326;-7.315479278564453;-7.661439895629883;-17.208786010742188;-7.458955764770508;-10.253255844116211;-4.829124450683594,0.0;-3.1556758880615234;-2.8939313888549805;-13.688472747802734;-2.517009735107422;-6.60969352722168;-7.29976749420166;-1.0157756805419922;-2.3162155151367188;-1.3422222137451172
She is obedient. He too is obedient.,obedient-disobedient,y,pp,n,fm,-1.35430908203125;-0.091796875;-0.1329803466796875;-0.2494964599609375;-0.26739501953125;-0.835205078125;-0.0721893310546875;-0.26163482666015625;-0.01943206787109375,-1.8036365509033203;-0.05034160614013672;-0.0003185272216796875;-0.03497886657714844;-1.3642539978027344;-1.7015266418457031;-0.028682708740234375;-0.00014495849609375;-0.024824142456054688,0.0;-9.325485229492188;-20.937042236328125;-7.048004150390625;-3.6635818481445312;-20.033634185791016;-6.184730529785156;-18.974834442138672;-6.823589324951172,0.0;-3.225691318511963;-11.011856079101562;-2.862773895263672;-5.236332893371582;-8.057098388671875;-0.8526554107666016;-0.9954776763916016;-0.7925510406494141
She is disobedient. He too is disobedient.,obedient-disobedient,y,mm,n,fm,-2.1243057250976562;-0.16153717041015625;-0.002044677734375;-0.26689910888671875;-0.29339599609375;-0.9519805908203125;-0.073699951171875;-0.005428314208984375;-0.03572845458984375,-1.830887794494629;-0.05078887939453125;-0.000339508056640625;-0.01451873779296875;-1.0428895950317383;-2.8163375854492188;-0.016664505004882812;-0.0002460479736328125;-0.018590927124023438,0.0;-11.398277282714844;-50.14120864868164;-7.9270172119140625;-5.727382659912109;-18.16478729248047;-6.766605377197266;-46.77629852294922;-7.35455322265625,0.0;-3.225691318511963;-14.064216613769531;-2.236710548400879;-5.015659332275391;-7.878674030303955;-0.8133382797241211;-1.1057052612304688;-0.8818416595458984
She is obedient. He too is disobedient.,obedient-disobedient,y,pm,n,fm,-2.595600128173828;-0.0774383544921875;-3.8921546936035156;-0.42218780517578125;-0.33394622802734375;-3.1363182067871094;-0.07122039794921875;-0.03745269775390625;-0.03319549560546875,-2.116511344909668;-0.04441261291503906;-0.000858306884765625;-0.02800750732421875;-1.2570009231567383;-2.0538320541381836;-0.029053688049316406;-0.0008563995361328125;-0.022905349731445312,0.0;-11.853687286376953;-15.840118408203125;-3.8266983032226562;-3.5746192932128906;-21.251129150390625;-9.155536651611328;-49.22304916381836;-5.365207672119141,0.0;-3.225691318511963;-11.011856079101562;-2.862773895263672;-5.236332893371582;-8.057098388671875;-0.8526554107666016;-7.334150314331055;-0.8041772842407227
She is disobedient. He too is obedient.,obedient-disobedient,y,mp,n,fm,-2.7586212158203125;-0.135894775390625;-0.028736114501953125;-0.5203323364257812;-0.21114349365234375;-3.544445037841797;-0.05760955810546875;-2.7778701782226562;-0.0384063720703125,-1.9468183517456055;-0.08336734771728516;-0.0007228851318359375;-0.017618179321289062;-1.1985759735107422;-2.2739200592041016;-0.03220367431640625;-0.0003910064697265625;-0.02913665771484375,0.0;-13.76983642578125;-51.072418212890625;-4.49267578125;-3.472034454345703;-24.098716735839844;-6.229976654052734;-16.983097076416016;-3.624725341796875,0.0;-3.225691318511963;-14.064216613769531;-2.236710548400879;-5.015659332275391;-7.878674030303955;-0.8133382797241211;-4.267797946929932;-1.0082149505615234
She is not obedient. He too is obedient.,obedient-disobedient,y,pp,y,fm,-4.513973236083984;-0.16187286376953125;-3.6781082153320312;-4.930503845214844;-0.40334320068359375;-0.31923675537109375;-4.322872161865234;-0.11157989501953125;-2.7359695434570312;-0.0518341064453125,-2.05246639251709;-0.06155872344970703;-2.0458669662475586;-0.0001983642578125;-0.045052528381347656;-1.3698129653930664;-1.5073566436767578;-0.06636810302734375;-0.0001239776611328125;-0.03570556640625,0.0;-10.311458587646484;-4.347341537475586;-13.088508605957031;-3.0182723999023438;-3.1095123291015625;-21.577985763549805;-6.620933532714844;-17.68539810180664;-4.622226715087891,0.0;-3.225691318511963;-2.9663033485412598;-11.531375885009766;-2.3257923126220703;-5.289443016052246;-8.293455123901367;-0.9954423904418945;-3.9624733924865723;-1.0082054138183594
She is not disobedient. He too is disobedient.,obedient-disobedient,y,mm,y,fm,-4.926189422607422;-0.1479339599609375;-2.8928146362304688;-0.00373077392578125;-0.4222259521484375;-0.38240814208984375;-4.283405303955078;-0.10851287841796875;-0.00689697265625;-0.06084442138671875,-2.446371078491211;-0.06769561767578125;-3.1551895141601562;-0.00049591064453125;-0.025015830993652344;-1.7052545547485352;-1.7849912643432617;-0.03410625457763672;-0.000232696533203125;-0.028974533081054688,0.0;-13.610565185546875;-7.842338562011719;-50.16982460021973;-4.5503082275390625;-5.1921234130859375;-16.494144439697266;-4.237567901611328;-52.47652816772461;-4.659034729003906,0.0;-3.225691318511963;-2.9663033485412598;-13.800233840942383;-1.9402275085449219;-5.093944072723389;-8.153616905212402;-1.0121021270751953;-4.049215793609619;-1.2044572830200195
She is not obedient. He too is disobedient.,obedient-disobedient,y,pm,y,fm,-5.702125549316406;-0.13047027587890625;-0.5924148559570312;-7.870018005371094;-0.35507965087890625;-0.757568359375;-1.7922210693359375;-0.06720733642578125;-0.00144195556640625;-0.05460357666015625,-3.020326614379883;-0.03858375549316406;-1.875356674194336;-0.0004253387451171875;-0.026742935180664062;-2.5118017196655273;-1.544997215270996;-0.03558349609375;-0.00093841552734375;-0.024320602416992188,0.0;-15.007946014404297;-6.387371063232422;-14.081256866455078;-5.617542266845703;-3.497953414916992;-16.87310028076172;-8.095062255859375;-51.613704681396484;-6.291721343994141,0.0;-3.225691318511963;-2.9663033485412598;-11.531375885009766;-2.3257923126220703;-5.289443016052246;-8.293455123901367;-0.9954423904418945;-4.875014781951904;-0.9469223022460938
She is not disobedient. He too is obedient.,obedient-disobedient,y,mp,y,fm,-7.027286529541016;-0.09781646728515625;-0.9807891845703125;-0.00167083740234375;-0.7110137939453125;-1.15362548828125;-3.591796875;-0.0398406982421875;-1.2342376708984375;-0.0537109375,-3.2920970916748047;-0.07483100891113281;-1.8128023147583008;-0.0008907318115234375;-0.02840423583984375;-3.17154598236084;-1.615159034729004;-0.03654670715332031;-0.0004367828369140625;-0.031803131103515625,0.0;-15.114646911621094;-11.529964447021484;-52.07315731048584;-7.691864013671875;-5.159404754638672;-17.84707260131836;-7.499763488769531;-10.504791259765625;-4.849514007568359,0.0;-3.225691318511963;-2.9663033485412598;-13.800233840942383;-1.9402275085449219;-5.093944072723389;-8.153616905212402;-1.0121021270751953;-2.4068593978881836;-1.4288253784179688
He is optimist. She too is optimist.,optimist-pessimist,-,pp,n,mf,-1.2451896667480469;-0.09972381591796875;-0.08934783935546875;-0.01113128662109375;-1.6210784912109375;-0.5593338012695312;-0.09470367431640625;-0.06021881103515625;-0.01451873779296875,-0.9895610809326172;-0.10038280487060547;-0.0018596649169921875;-0.033905029296875;-1.800105094909668;-3.844071388244629;-0.0484619140625;-0.00617218017578125;-0.012935638427734375,0.0;-11.726066589355469;-36.84511947631836;-15.351219177246094;-3.397876739501953;-17.103378295898438;-8.46369743347168;-32.23283386230469;-9.588127136230469,0.0;-3.1556758880615234;-13.438260078430176;-1.9315366744995117;-5.597442626953125;-7.500556945800781;-1.2280855178833008;-4.639189720153809;-0.784855842590332
He is pessimist. She too is pessimist.,optimist-pessimist,-,mm,n,mf,-1.2602767944335938;-0.11980438232421875;-0.39302825927734375;-0.0076904296875;-1.4954757690429688;-0.7167129516601562;-0.05005645751953125;-0.5837936401367188;-0.01567840576171875,-0.9775056838989258;-0.050574302673339844;-0.1280517578125;-0.02105712890625;-1.6161327362060547;-2.5215654373168945;-0.021238327026367188;-0.11978530883789062;-0.013271331787109375,0.0;-13.87936782836914;-42.91486358642578;-12.624656677246094;-6.506538391113281;-17.21265411376953;-7.187145233154297;-39.41239547729492;-9.504623413085938,0.0;-3.1556758880615234;-14.808465003967285;-2.091233253479004;-5.9475789070129395;-7.315833568572998;-1.2410211563110352;-5.876521110534668;-0.7610645294189453
He is optimist. She too is pessimist.,optimist-pessimist,-,pm,n,mf,-1.2473945617675781;-0.08185577392578125;-1.3167991638183594;-0.01595306396484375;-1.5462799072265625;-2.5078697204589844;-0.12413787841796875;-4.608325958251953;-0.01332855224609375,-1.7205963134765625;-0.030725479125976562;-0.09043121337890625;-0.019083023071289062;-1.5955419540405273;-3.284783363342285;-0.027624130249023438;-1.6507244110107422;-0.007022857666015625,0.0;-10.825252532958984;-36.84091567993164;-10.137016296386719;-5.6634063720703125;-19.582664489746094;-8.877761840820312;-37.590484619140625;-6.2785491943359375,0.0;-3.1556758880615234;-13.438260078430176;-1.9315366744995117;-5.597442626953125;-7.500556945800781;-1.2280855178833008;-8.536319732666016;-0.7883119583129883
He is pessimist. She too is optimist.,optimist-pessimist,-,mp,n,mf,-0.9510574340820312;-0.085906982421875;-3.028972625732422;-0.0200347900390625;-1.2559585571289062;-2.4967041015625;-0.12407684326171875;-1.1112632751464844;-0.013519287109375,-1.2185354232788086;-0.04286670684814453;-2.3288230895996094;-0.019060134887695312;-1.4846076965332031;-2.9766693115234375;-0.0757293701171875;-0.06394004821777344;-0.008045196533203125,0.0;-11.2010498046875;-43.35848808288574;-4.174171447753906;-5.278156280517578;-20.639781951904297;-8.513954162597656;-26.112346649169922;-5.0032806396484375,0.0;-3.1556758880615234;-14.808465003967285;-2.091233253479004;-5.9475789070129395;-7.315833568572998;-1.2410211563110352;-6.992728233337402;-0.8445348739624023
